"cds_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_054019011.1_1935",15.8761810807827,0.666197395446815,0.64847340447538,0.161022316396139,0.221260303750311,NA,"ABFT21_RS09750","DUF3085 domain-containing protein","WP_054019011.1"
"lcl_NZ_CP166677.1_cds_WP_054017843.1_3570",12974.9922068029,0.219677798153418,0.159260118218489,0.161075698916176,0.221278543555912,NA,"ABFT21_RS18005","3-hydroxyacyl-CoA dehydrogenase","WP_054017843.1"
"lcl_NZ_CP166677.1_cds_WP_157548899.1_4316",2160.02382945237,-0.287276668136108,0.212190698210078,0.161235119473358,0.221442408298361,NA,"ABFT21_RS21785","SRPBCC family protein","WP_157548899.1"
"lcl_NZ_CP166677.1_cds_WP_054018298.1_3335",1236.40529817579,0.304964735907925,0.225546927948129,0.161737860027051,0.222077594268104,NA,"ABFT21_RS16830","four-helix bundle copper-binding protein","WP_054018298.1"
"lcl_NZ_CP166677.1_cds_WP_463938100.1_2368",419.238458858927,0.292740796325527,0.216104582529116,0.161983982929199,0.222360197516892,NA,"ABFT21_RS11960","electron transfer flavoprotein subunit alpha/FixB family protein","WP_463938100.1"
"lcl_NZ_CP166678.1_cds_WP_157548458.1_5514",7.22401587852717,0.695939172101669,0.8361024695728,0.162165481072446,0.222553969919573,NA,"ABFT21_RS27850","hypothetical protein","WP_157548458.1"
"lcl_NZ_CP166677.1_cds_WP_054020017.1_461",688.726399760532,-0.273166268790298,0.204913199236381,0.16226657037528,0.222592467920531,NA,"ABFT21_RS02320","GNAT family N-acetyltransferase","WP_054020017.1"
"lcl_NZ_CP166678.1_cds_WP_054018115.1_5531",17.6485967315897,0.61499622260359,0.55592087679293,0.162274226205614,0.222592467920531,NA,"ABFT21_RS27935","hypothetical protein","WP_054018115.1"
"lcl_NZ_CP166677.1_cds_WP_393940083.1_5035",80.418842121467,0.399964345715097,0.306557210352873,0.162431017488994,0.222752155974839,NA,"ABFT21_RS25400","hypothetical protein","WP_393940083.1"
"lcl_NZ_CP166677.1_cds_WP_231638197.1_5134",4648.86257640075,0.221368112669877,0.158939550694952,0.16310765863971,0.223624491231431,NA,"ABFT21_RS25945","DUF4197 domain-containing protein","WP_231638197.1"
"lcl_NZ_CP166677.1_cds_WP_054022649.1_724",8272.20512170642,0.671307216205552,0.690557994427733,0.164288676972564,0.225187734374568,NA,"ABFT21_RS03665","MotA/TolQ/ExbB proton channel family protein","WP_054022649.1"
"lcl_NZ_CP166677.1_cds_WP_054021839.1_2308",1408.7805860798,0.29758303463089,0.222441861073801,0.164769890732594,0.225791228805693,"pgi","ABFT21_RS11655","glucose-6-phosphate isomerase","WP_054021839.1"
"lcl_NZ_CP166677.1_cds_WP_054018197.1_3212",214.361548092884,-0.302539161380025,0.225013677271391,0.164871084595415,0.225873795309884,NA,"ABFT21_RS16215","ABC transporter ATP-binding protein","WP_054018197.1"
